fecha,demanda_gwh,precio_bolsa_cop_kwh,volumen_util_embalses_kwh,tipo_dia,ipc_var_anual_energia
2024-03-03,8.483959423333332,475.60082718456675,7361001900.0,Fin de semana,9.58
2024-03-04,9.841214710000001,487.18146245820003,7267010100.0,Día normal,9.58
2024-03-05,10.028308092916667,540.4586370980335,7180144300.0,Día normal,9.58
2024-03-06,10.145712969166668,544.6196586306667,7097042500.0,Día normal,9.58
2024-03-07,10.168404365416666,563.1061419328998,7011673500.0,Día normal,9.58
2024-03-08,10.276687605,543.4656360895667,6926567700.0,Día normal,9.58
2024-03-09,9.724971503333336,545.4726847142999,6869596600.0,Fin de semana,9.58
2024-03-10,8.882056577499998,560.0894009736667,6819872100.0,Fin de semana,9.58
2024-03-11,10.049462036666666,560.3143676822332,6770450200.0,Día normal,9.58
2024-03-12,10.218208744166667,589.2886326986996,6700785400.0,Día normal,9.58
2024-03-13,10.266053737083334,575.3850181025997,6602690100.0,Día normal,9.58
2024-03-14,10.308703514166668,539.9220938424336,6537700100.0,Día normal,9.58
2024-03-15,10.295074437083333,559.2369973329002,6441605100.0,Día normal,9.58
2024-03-16,9.873277942083332,576.1057871905665,6355557100.0,Fin de semana,9.58
2024-03-17,8.934222529583332,584.6208010102334,6299129800.0,Fin de semana,9.58
2024-03-18,10.148259574999999,518.0111999886332,6204737000.0,Día normal,9.58
2024-03-19,10.226043918750001,619.8054079483996,6133242000.0,Día normal,9.58
2024-03-20,10.125931870833332,625.8680169264331,6046994400.0,Día normal,9.58
2024-03-21,10.052999685833335,655.7352672274336,5978091100.0,Día normal,9.58
2024-03-22,10.107048503749997,708.6935026785333,5900956600.0,Día normal,9.58
2024-03-23,9.705119302083334,716.7199643373334,5823070700.0,Fin de semana,9.58
2024-03-24,8.965546380416665,653.3693657722669,5756010300.0,Fin de semana,9.58
2024-03-25,9.1627598925,737.6073915631001,5700605500.0,Festivo,9.58
2024-03-26,9.882866755833334,838.366295232567,5633693500.0,Día normal,9.58
2024-03-27,9.411308659166666,929.3804798359002,5585317100.0,Día normal,9.58
2024-03-28,8.539838620833333,854.2411340934333,5555901800.0,Festivo,9.58
2024-03-29,8.216519767083332,815.9071688132332,5530485500.0,Festivo,9.58
2024-03-30,8.827343076666665,758.7948796658666,5488067600.0,Fin de semana,9.58
2024-03-31,8.632227825416667,713.0421779207664,5469610000.0,Fin de semana,9.58
